step_number,step_description,unit,component_item_code,blend_item_code
12,Agitate for 30 minutes.,,,93700.B
13,Verify that batch has thickened. ,,,93700.B
14,Add M96027 Chromatint Green 1102,grams,100438,93700.B
15,Agitate until ingredients are mixed.,,,93700.B
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,93700.B
17,Ensure that any agitators used have been turned off.,,,93700.B
18,Remove GHS label from the mix vessel.,,,93700.B
1,Gather the required materials.,,,93800.B
2,Verify that the vessel is clean. ,,,93800.B
3,Apply GHS label to the mix vessel.,,,93800.B
4,Charge vessel with water.,gal,WATER,93800.B
5,Start agitator. ,,,93800.B
6,Add Lauramine Oxide,lbs,030021,93800.B
7,Add Colamid 0071 or Ninol 30 LL,lbs,030104,93800.B
8,Add AOS 40,lbs,030152,93800.B
9,Add Sodium Lauryl Sulfate,lbs,030085,93800.B
10,Add Pine Oil,lbs,100436,93800.B
11,Agitate for 30 minutes.,,,93800.B
12,Verify that batch has thickened. ,,,93800.B
13,Add D91028 Chromatint Yellow 1648,grams,100399,93800.B
14,Agitate until ingredients are mixed.,,,93800.B
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,93800.B
16,Ensure that any agitators used have been turned off.,,,93800.B
17,Remove GHS label from the mix vessel.,,,93800.B
1,Gather the required materials.,,,94200.B
2,Verify that the vessel is clean. ,,,94200.B
3,Apply GHS label to the mix vessel.,,,94200.B
4,Charge vessel with water.,gal,WATER,94200.B
5,Start agitator.,,,94200.B
6,Add Versene 100,lbs,030019,94200.B
7,Add Glycol Ether DPM,lbs,030011,94200.B
8,Add Tomadol 91-8,lbs,031013,94200.B
9,Add Orange Enhancer,lbs,030124,94200.B
10,Add Lemon Fragrance AB107263,lbs,030004,94200.B
11,Add Sodium Xylene Sulfonate,lbs,030013,94200.B
12,Add Liquitint Brilliant Orange L82000,grams,500321,94200.B
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,94200.B
14,Ensure that any agitators used have been turned off.,,,94200.B
15,Remove GHS label from the mix vessel.,,,94200.B
1,Gather the required materials.,,,94200CLEAR.B
2,Verify that the vessel is clean. ,,,94200CLEAR.B
3,Charge vessel with water.,,WATER,94200CLEAR.B
4,Start agitator.,,,94200CLEAR.B
5,Add Versene 100,,030019,94200CLEAR.B
6,Add Glycol Ether DPM,,030011,94200CLEAR.B
7,Add Tomadol 91-8,,031013,94200CLEAR.B
8,Add Orange Enhancer,,030124,94200CLEAR.B
9,Add Lemon Fragrance AB107263,,030004,94200CLEAR.B
10,Add Sodium Xylene Sulfonate,,030013,94200CLEAR.B
11,Add Busan 1264,,030146,94200CLEAR.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,94200CLEAR.B
13,Ensure that any agitators used have been turned off.,,,94200CLEAR.B
1,Gather the required materials.,,,94400.B
2,Verify that the vessel is clean. ,,,94400.B
3,Apply GHS label to the mix vessel.,,,94400.B
4,Charge vessel with water.,,WATER,94400.B
5,Start agitator.,,,94400.B
6,Add Accusol 820 and agitate for 10 minutes.                                                             ,,030000,94400.B
7,Slowly add Sodium Metasilicate and agitate until ingredients are mixed.,,240073,94400.B
8,Add Glycol Ether DPM and agitate until ingredients are mixed.,,030011,94400.B
9,Add Isopropyl Alcohol and agitate for 10 minutes. ,,030018,94400.B
10,Add Tomadol 91-8 and agitate for 10 minutes. ,,031013,94400.B
11,Add Coladet 190 and agitate for 10 minutes. ,,030113,94400.B
12,Add lemon Fragrance and agitate for 10 minutes. ,,030004,94400.B
13,Add Orange Enhancer and agitate for 10 minutes. ,,030124,94400.B
14,Add Chromatech Liquitint Orange L82000 Dye and agitate for 10 minutes.,,500321,94400.B
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,94400.B
16,Ensure that any agitators used have been turned off.,,,94400.B
17,Remove GHS label from the mix vessel.,,,94400.B
1,Gather the required materials.,,,94444CON.B
2,Verify that the vessel is clean. ,,,94444CON.B
3,Apply GHS label to the mix vessel.,,,94444CON.B
4,Charge vessel with water.,gal,WATER,94444CON.B
5,Start agitator.,,,94444CON.B
6,Add Busan 1264,lbs,030146,94444CON.B
7,Add Pilot AOS-40,lbs,030152,94444CON.B
8,Agitate for 10 minutes. ,,,94444CON.B
9,Add NA SUL 437,lbs,030105,94444CON.B
10,Add APS-342,grams,031036,94444CON.B
11,Add DYE-TURQUOISE GREEN 8GL,grams,030009,94444CON.B
12,Agitate for 30 minutes.,,,94444CON.B
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,94444CON.B
14,Ensure that any agitators used have been turned off.,,,94444CON.B
15,Remove GHS label from the mix vessel.,,,94444CON.B
1,Gather the required materials.,,,94444RTU.B
2,Verify that the vessel is clean. ,,,94444RTU.B
3,Apply GHS label to the mix vessel.,,,94444RTU.B
4,Charge vessel with water.,,WATER,94444RTU.B
5,Start agitator.,,,94444RTU.B
6,Add Busan 1264,,030146,94444RTU.B
7,Add Pilot AOS-40,,030152,94444RTU.B
8,Agitate for 10 minutes. ,,,94444RTU.B
9,Add NA SUL 437,,030105,94444RTU.B
10,Add APS-342,,031036,94444RTU.B
11,Add DYE-TURQUOISE GREEN 8GL,,030009,94444RTU.B
12,Agitate for 30 minutes.,,,94444RTU.B
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,94444RTU.B
14,Ensure that any agitators used have been turned off.,,,94444RTU.B
15,Remove GHS label from the mix vessel.,,,94444RTU.B
1,Gather the required materials.,,,94500.B
2,Verify that the vessel is clean. ,,,94500.B
3,Apply GHS label to the mix vessel.,,,94500.B
4,Charge vessel with water.,,WATER,94500.B
5,Start agitator.,,,94500.B
6,Add Tomadol 91-8. ,,031013,94500.B
7,Add d-Limonene,,030038,94500.B
8,Add SODIUM LAURYL SULFATE ,,030085,94500.B
9,Add Coladet DEF 15,,030008CN,94500.B
10,Agitate for 5 minutes. ,,,94500.B
11,Add Busan 1264,,030146,94500.B
12,Agitate for 20 minutes. ,,,94500.B
13,Add Chromatech Liquitint Orange L82000,,500321,94500.B
14,Agitate until ingredients are mixed.,,,94500.B
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,94500.B
16,Ensure that any agitators used have been turned off.,,,94500.B
17,Remove GHS label from the mix vessel.,,,94500.B
1,Gather the required materials.,,,94600.B
2,Verify that the vessel is clean. ,,,94600.B
3,Apply GHS label to the mix vessel.,,,94600.B
4,Charge vessel with water.,,WATER,94600.B
5,Start agitator.,,,94600.B
6,Add Tomadol 91-8. ,,031013,94600.B
7,Add d-Limonene,,030038,94600.B
8,Add SODIUM LAURYL SULFATE ,,030085,94600.B
9,Add Coladet DEF 15,,030008CN,94600.B
10,Agitate for 5 minutes. ,,,94600.B
11,Add Busan 1264,,030146,94600.B
12,Add Lambent 703,,030111,94600.B
13,Agitate for 20 minutes. ,,,94600.B
14,Add Chromatech Liquitint Orange L82000,,500321,94600.B
15,Agitate until ingredients are mixed.,,,94600.B
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,94600.B
17,Ensure that any agitators used have been turned off.,,,94600.B
18,Remove GHS label from the mix vessel.,,,94600.B
1,Gather the required materials.,,,94700.B
2,Verify that the vessel is clean. ,,,94700.B
3,Apply GHS label to the mix vessel.,,,94700.B
4,Charge vessel with water.,gal,WATER,94700.B
5,Start agitator.,,,94700.B
6,Add Lauramine Oxide,lbs,030021,94700.B
7,Add Colamid 0071 or Ninol 30 LL,lbs,030104,94700.B
8,Add AOS 40,lbs,030152,94700.B
9,Add Sodium Lauryl Sulfate ,lbs,030085,94700.B
10,ADD Protan LS 7585,lbs,030179,94700.B
10,Add Lambent 703,lbs,030111,94700.B
11,Add Busan 1264,lbs,030146,94700.B
12,Add Pine Oil,lbs,100436,94700.B
13,Add Chromatint Blue 0408,gr,030112,94700.B
14,Agitate for 30 minutes.,,,94700.B
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,94700.B
16,Ensure that any agitators used have been turned off.,,,94700.B
17,Remove GHS label from the mix vessel.,,,94700.B
1,Gather the required materials.,,,94900.B
2,Verify that the vessel is clean. ,,,94900.B
3,Apply GHS label to the mix vessel.,,,94900.B
4,Charge vessel with water.,gal,WATER,94900.B
5,Start agitator.,,,94900.B
6,Add Oxalic Acid.,lbs,030025,94900.B
7,Agitate for 10 minutes. ,,,94900.B
8,Add Glycolic Acid ,lbs,030151,94900.B
9,Using black wire locks; re-seal glycolic acid tote.,,,94900.B
10,Add Bio-terge AS-40,lbs,030152,94900.B
11,Agitate for 30 minutes.,,,94900.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,94900.B
13,Ensure that any agitators used have been turned off.,,,94900.B
14,Remove GHS label from the mix vessel.,,,94900.B
1,Gather the required materials.,,,95000.B
2,Verify that the vessel is clean. ,,,95000.B
3,Apply GHS label to the mix vessel.,,,95000.B
4,Charge vessel with water.,gal,WATER,95000.B
,Start agitator,,,95000.B
5,Add Versene 100,lbs,030019,95000.B
6,Add Glycol Ether Eb,lbs,030012,95000.B
7,Add IPA,lbs,030018,95000.B
8,Add Ammonia 26,lbs,030178,95000.B
9,Add Acetic Acid,lbs,030161,95000.B
10,Add Sugaboost 050,lbs,031051,95000.B
11,Add API WS-500,lbs,030107,95000.B
12,Add Busan 1264,lbs,030146,95000.B
13,Add Lemon W/S Frag,lbs,030004,95000.B
14,Add Chromatint 0408,grams,030112,95000.B
15,Add SXS (Nease Naxonate 4LS),lbs,030013,95000.B
15,Agitate for 20 minutes.,,,95000.B
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,95000.B
17,Ensure that any agitators used have been turned off.,,,95000.B
18,Remove GHS label from the mix vessel.,,,95000.B
1,Gather the required materials.,,,95022.B
2,Verify that the vessel is clean. ,,,95022.B
3,Apply GHS label to the mix vessel.,,,95022.B
4,Charge vessel with water.,,WATER,95022.B
5,Add Acetic Acid 99.7%,,030161,95022.B
6,Add W/S Peppermint Oil 112-34-5,,030162,95022.B
7,Agitate for 15 minutes.,,,95022.B
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,95022.B
9,Ensure that any agitators used have been turned off.,,,95022.B
10,Remove GHS label from the mix vessel.,,,95022.B
1,Gather the required materials.,,,95300.B
2,Verify that the vessel is clean. ,,,95300.B
3,Apply GHS label to the mix vessel.,,,95300.B
4,Charge vessel with water.,gal,WATER,95300.B
5,Start agitator. ,,,95300.B
6,Add DNA,lbs,031018,95300.B
8,Add Odernone W/S,lbs,030198,95300.B
9,Add Ocean Breeze W/S Fragrance,lbs,030199,95300.B
10,Add Busan 1264,lbs,030146,95300.B
11,Agitate for 20 minutes.,,,95300.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,95300.B
13,Ensure that any agitators used have been turned off.,,,95300.B
14,Remove GHS label from the mix vessel.,,,95300.B
1,Gather the required materials.,,,95400.B
2,Verify that the vessel is clean. ,,,95400.B
3,Apply GHS label to the mix vessel.,,,95400.B
4,Charge vessel with water.,,WATER,95400.B
5,Start agitator on LOW SPEED. ,,,95400.B
6,Add Glycol Ether EB ,,030012,95400.B
7,Add APFS 14 ,,030117,95400.B
8,Add Busan 1264 ,,030146,95400.B
9,Agitate for 10 minutes on LOW SPEED.,,,95400.B
10,Add APS-342,,031036,95400.B
11,Add API 195,,100459,95400.B
12,Agitate for 20 minutes on LOW SPEED.,,,95400.B
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,95400.B
14,Ensure that any agitators used have been turned off.,,,95400.B
15,Remove GHS label from the mix vessel.,,,95400.B
1,Gather the required materials.,,,95500.B
2,Verify that the vessel is clean. ,,,95500.B
3,Apply GHS label to the mix vessel.,,,95500.B
4,Charge vessel with calumet,,100507TANKO,95500.B
5,Start agitator. ,,,95500.B
6,Add P-205,,100452,95500.B
7,Add CI 1000,,100453,95500.B
8,Add MCC 2115,,100454,95500.B
9,Agitate for 20 minutes.,,,95500.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,95500.B
11,Ensure that any agitators used have been turned off.,,,95500.B
12,Remove GHS label from the mix vessel.,,,95500.B
1,Gather the required materials.,,,95600.B
2,Verify that the vessel is clean.,,,95600.B
3,Change all sock filters and water trap filters.,,,95600.B
4,Agitate enzyme drums for 3 minutes before using.,,,95600.B
5,Set aside 100gal of Calumet 400-500<1% LPA 170.,,100507TANKO,95600.B
6,Add Enzyme through 5 and 1 micron filter stacked.,,100433,95600.B
7,Add OGA 293HF,lbs,100521,95600.B
8,Agitate for 1 hour.,,,95600.B
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,95600.B
10,Ensure that any agitators used have been turned off.,,,95600.B
11,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,95600.B
1,Gather the required materials. MUST USE POLY MIX VESSEL.,,,95900.B
2,Verify that the vessel is clean. ,,,95900.B
3,Apply GHS label to the mix vessel.,,,95900.B
4,Charge vessel with water.,gal,WATER,95900.B
5,Add Fibrosil -EM60-HG,lbs,030164,95900.B
6,Add Coconut Fragrance,lbs,030003,95900.B
7,Add Preventol D7,lbs,030146P,95900.B
8,Add APS-342,grams,031036,95900.B
9,Add AQ1,grams,030110,95900.B
10,Agitate for 20 minutes.,,,95900.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,95900.B
12,Ensure that any agitators used have been turned off.,,,95900.B
13,Remove GHS label from the mix vessel.,,,95900.B
1,Gather the required materials.,,,96100.B
2,Verify that the final mix vessel and the kelzan mix vessel are both clean. ,,,96100.B
3,Apply GHS labels to the final mix vessel.,,,96100.B
4,Pour no more than 200 gallons of water into the Kelzan mix vessel.,,WATER,96100.B
5,Agitate Kelzan for 60 minutes.,,,96100.B
6,Verify that all powder is dissolved and product is clump free.,,,96100.B
7,Charge the final mix vessel with the remaining water.,,,96100.B
8,Start agitator of final mix vessel. ,,,96100.B
9,Add dissolved Kelzan to the main mixing vessel. ,,,96100.B
10,Verify that there are no clumps in the mixture.,,,96100.B
11,Add Oxalic Acid.,,030025,96100.B
12,Agitate for 10 minutes.,,,96100.B
13,Add Glycolic Acid ,,030151,96100.B
14,Using black wire locks; re-seal glycolic acid tote.,,,96100.B
15,Add AOS 40,,030152,96100.B
16,Add Busan 1264,,030146,96100.B
17,Agitate for 30 minutes.,,,96100.B
18,Sample blend; label sample container; and deliver sample to QC Lab.,,,96100.B
19,Ensure that any agitators used have been turned off.,,,96100.B
20,Remove GHS label from the mix vessel.,,,96100.B
1,"In pre-mix vessel, add DEF 45.",,,96500.B
2,"In pre-mix vessel, add Lemongrass fragrance",,,96500.B
3,"In pre-mix vessel, mix for 10 minutes then add Tea Tree Oil 50-6270-01-01",,,96500.B
4,"In the main mix vessel, charge with water.",,,96500.B
5,"In the main mix vessel, add Busan 1264.",,,96500.B
6,Add PART I pre-mix into PART II mix base into the main mix vessel,,,96500.B
7,Mix for 30 minutes or until solution uniform,,,96500.B
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,96500.B
9,Ensure that any agitators used have been turned off.,,,96500.B
1,Gather the required materials.,,,965Gel-PREMIX.B
2,Verify that the vessel is clean. ,,,965Gel-PREMIX.B
3,Charge kettle NP-9,lbs,100468,965Gel-PREMIX.B
4,Add Tea Tree Oil 50-6270-01-01,lbs,100533,965Gel-PREMIX.B
5,Add Lemongrass W/S,lbs,100534,965Gel-PREMIX.B
6,Agitate for 20 minutes.,,,965Gel-PREMIX.B
7,Sample blend; label sample container; and deliver sample to QC Lab.,,,965Gel-PREMIX.B
8,Ensure that any agitators used have been turned off.,,,965Gel-PREMIX.B
1,Gather the required materials.,,,965GEL.B
2,Verify that mixer is clean and dry. ,,,965GEL.B
3,Charge with DI water in clean dry mixer.,gal,030143,965GEL.B
4,Ensure that the DI water pump is turned off.,,,965GEL.B
5,Add Busan 1264 at 30-30 agitator speed.,lbs,030146,965GEL.B
6,Agitate for 1 minute.,,,965GEL.B
7,Add Liquidtint L86045 Green 1054 Dye at 30-30 agitator speed.,grams,100465,965GEL.B
8,Agitate for 1 minute.,,,965GEL.B
9,Add Carbopol EZ-2 SLOWLY (do not add all at once) at 30-30 agitator speed.,lbs,030158,965GEL.B
10,Agitate for 10 minutes.,,,965GEL.B
11,Raise lid and scrape vessel sides and agitator shaft if needed--make sure no clumps/lumps are present.,,,965GEL.B
12,Add Caustic Soda 50% at 30-30 agitator speed.,lbs,050007,965GEL.B
13,Raise lid and verify that batch is the consistency of jelly after addition of Caustic Soda 50%.,,,965GEL.B
14,Mix at 30-30 agitator speed for 10 minutes.,,,965GEL.B
15,Add 965Pre-Mix.B SLOWLY into vessel  (do not add all at once).,gal,965Pre-Mix.B,965GEL.B
16,Continue mixing until all oil goes in and product is uniform.,,,965GEL.B
17,Verify that there is no oil from pre-mix at the top of the blend.,,,965GEL.B
18,Turn off dispersor blade; but keep side sweeper still running. ,,,965GEL.B
19,Run vacuum for 10 minutes.,,,965GEL.B
20,Sample blend; label sample container; and deliver sample to QC Lab.,,,965GEL.B
21,Ensure that any agitators used have been turned off.,,,965GEL.B
1,Gather the required materials.,,,97000DIL.B
2,Retrieve a dedicated or brand new tote for this blend. ,,,97000DIL.B
3,"If making by scale near MSR tank, turn red light on",,,97000DIL.B
4,Apply GHS label to the tote.,,,97000DIL.B
5,Charge tote with DI Water,,030143,97000DIL.B
6,Sample DI Water and bring to lab for conductivity testing. ,,,97000DIL.B
7,Verify that the conductivity reading for DI water is 0.,,,97000DIL.B
8,Ensure that the DI water pump is turned off.,,,97000DIL.B
9,Add Liquid Sodium Chlorite 25%,,200126,97000DIL.B
10,Using orange wire locks; re-seal liquid sodium chlorite tote.,,,97000DIL.B
11,Mix with poly paddle for 5 minutes. ,,,97000DIL.B
12,Wash any totes that are being re-used with DI WATER,,,97000DIL.B
13,Apply spraypainted dot indicating current use of tote--if on third use; dispose of tote. ,,,97000DIL.B
14,Lab must take pictures of all totes before emptying batch.,,,97000DIL.B
14,Upon approval from the lab; empty batch into totes with VENTED CAPS.,,,97000DIL.B
1,Gather the required materials.,,,97100.B
2,Retrieve a dedicated or brand new tote for this blend. ,,,97100.B
3,"If making by scale by MSR tank, turn red light on",,,97100.B
4,Apply GHS label to the tote.,,,97100.B
5,Charge tote with DI Water,,030143,97100.B
6,Sample DI Water and bring to lab for conductivity testing. ,,,97100.B
7,Verify that the conductivity reading for DI water is 0.,,,97100.B
8,Ensure that the DI water pump is turned off.,,,97100.B
9,Add Liquid Sodium Chlorite 25%,,200126,97100.B
10,Using orange wire locks; re-seal liquid sodium chlorite tote.,,,97100.B
11,Mix with poly paddle for 5 minutes. ,,,97100.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,97100.B
13,Wash any totes that are being re-used with DI WATER,,,97100.B
14,Apply spraypainted dot indicating current use of tote--if on third use; dispose of tote. ,,,97100.B
15,Lab must take pictures of all totes before emptying batch.,,,97100.B
15,Upon approval from the lab; empty batch into totes with VENTED CAPS.,,,97100.B
1,Gather the required materials.,,,97200.B
2,Verify that the vessel is clean. ,,,97200.B
3,Apply GHS label to the mix vessel.,,,97200.B
4,Charge vessel with DI water.,gal,030143,97200.B
5,Ensure that the DI water pump is turned off.,,,97200.B
6,Start agitator,,,97200.B
7,Add Potassium Carbonate,lbs,030138,97200.B
8,Add Sodium Metasilicate,lbs,240073,97200.B
9,Add Versene 100,lbs,030019,97200.B
10,Add Videt Eqi,lbs,100518,97200.B
11,Add API WS-500,lbs,030107,97200.B
12,Add APS-342,lbs,031036,97200.B
13,Add Eversorb AQ1,lbs,030110,97200.B
14,Agitate for 10 minutes. ,,,97200.B
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,97200.B
16,Ensure that any agitators used have been turned off.,,,97200.B
17,Remove GHS label from the mix vessel.,,,97200.B
1,Gather the required materials. MUST USE POLY MIX VESSEL.,,,97300.B
2,Verify that the mix vessel is clean. ,,,97300.B
3,Apply GHS label to the mix vessel.,,,97300.B
4,Charge vessel with water.,gal,WATER,97300.B
5,Busan 1264,lbs,030146,97300.B
6,Add Fibrosil -EM60-HG ,lbs,030164,97300.B
7,Add API 345V,lbs,100515,97300.B
8,Add Tropical Coconut W/S #66716,lbs,030003,97300.B
9,Add APS-342,grams,031036,97300.B
10,Add Eversorb AQI,grams,030110,97300.B
11,Agitate for 20 minutes.,,,97300.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,97300.B
13,Ensure that any agitators used have been turned off.,,,97300.B
14,Remove GHS label from the mix vessel.,,,97300.B
1,Gather the required materials.,,,97700.B
2,Verify that the vessel is clean. ,,,97700.B
3,Apply GHS label to the mix vessel.,,,97700.B
4,Charge vessel with water.,,WATER,97700.B
5,Thoroughly rinse pumps with water. ,,,97700.B
6,Start agitator. ,,,97700.B
7,Add Evogen Carpet 10X UF under agitation,,301048,97700.B
8,Add Ordernone W/S,,030198,97700.B
9,Add Crisp Cucumber Kiwi W/S 96088,,031046,97700.B
10,Agitate for 10 minutes.,,,97700.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,97700.B
12,Ensure that any agitators used have been turned off.,,,97700.B
13,Remove GHS label from the mix vessel.,,,97700.B
1,Gather the required materials.,,,98100.B
2,Verify that the vessel is clean. ,,,98100.B
3,Apply GHS label to the mix vessel.,,,98100.B
4,Charge vessel with water.,,WATER,98100.B
5,Start agitator. ,,,98100.B
6,Add Vitech Eqi,,100518,98100.B
7,Add API WS 500,,030107,98100.B
8,Add Busan 1264,,030146,98100.B
9,Add Tropical Coconut W/S ,,030003,98100.B
10,Add APS-342,,031036,98100.B
11,Add Liquitint Orange L82000,,500321,98100.B
12,Add foam Ban Defoamer,,030142,98100.B
13,Agitate for 5 minutes.,,,98100.B
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,98100.B
15,Ensure that any agitators used have been turned off.,,,98100.B
16,Remove GHS label from the mix vessel.,,,98100.B
1,Gather the required materials.,,,98200.B
2,Verify that the vessel is clean. ,,,98200.B
3,Apply GHS label to the mix vessel.,,,98200.B
4,Charge vessel with Conoco Pure Performance 80.,,100475,98200.B
5,Start agitator. ,,,98200.B
6,Add Lanolin,,100475,98200.B
7,Add CA 1146,,100524,98200.B
8,Add CER-150SN,,100525,98200.B
9,Agitate for 20 minutes.,,,98200.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,98200.B
11,Ensure that any agitators used have been turned off.,,,98200.B
12,Remove GHS label from the mix vessel.,,,98200.B
1,Gather the required materials.,,,AF600.B
2,Verify that vessel is clean. ,,,AF600.B
3,Apply GHS label to the mix vessel.,,,AF600.B
4,Charge vessel with PG.,,050000,AF600.B
5,Start agitator.,,,AF600.B
6,Add (Undyed) Metal Guard A-65,,601021,AF600.B
7,Add DI water,,030143,AF600.B
8,Ensure that the DI water pump is turned off.,,,AF600.B
9,Add Phosphoric Acid,,240079,AF600.B
10,Using black wire locks; re-seal phosphoric acid tote.,,,AF600.B
11,Add Chromatint Blue 408,,030112,AF600.B
12,Add Chromatint Red 1887,,050017,AF600.B
13,Agitate for 20 minutes.,,,AF600.B
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,AF600.B
15,Ensure that any agitators used have been turned off.,,,AF600.B
16,Remove GHS label from the mix vessel.,,,AF600.B
1,Gather the required materials.,,,AF600FS.B
2,Verify that vessel is clean. ,,,AF600FS.B
3,Apply GHS label to the mix vessel.,,,AF600FS.B
4,Charge vessel with PG.,gal,050000,AF600FS.B
5,Start agitator.,,,AF600FS.B
6,Add (Undyed) Metal Guard A-65,gal,601021,AF600FS.B
7,Add Phosphoric Acid,gal,240079,AF600FS.B
8,Using black wire locks; re-seal phosphoric acid tote.,,,AF600FS.B
9,Add Chromatint Blue 408,grams,030112,AF600FS.B
10,Add Chromatint Red 1887,grams,050017,AF600FS.B
11,Agitate for 20 minutes.,,,AF600FS.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,AF600FS.B
13,Ensure that any agitators used have been turned off.,,,AF600FS.B
14,Remove GHS label from the mix vessel.,,,AF600FS.B
1,Gather the required materials.,,,FULL STR
2,Verify that the vessel is clean. ,,,FULL STR
3,Apply GHS label to the mix vessel.,,,FULL STR
4,Charge mix vessel with PG,gal,050000,FULL STR
5,Add Polyglycol 112-2,lbs,030121,FULL STR
6,Add BTNN80,gal,030176,FULL STR
7,Agitate until homogenous.,,,FULL STR
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,FULL STR
9,Ensure that any agitators used have been turned off.,,,FULL STR
10,Remove GHS label from the mix vessel.,,,FULL STR
1,Gather the required materials.,,,Flush.B
2,Verify that the vessel is clean. ,,,Flush.B
3,Apply GHS label to the mix vessel.,,,Flush.B
4,Charge mix vessel with DI Water.,gal,030143,Flush.B
5,Add Sodium Hypochlorite 12.5%,lbs,030024,Flush.B
6,Using red wire locks; re-seal sodium hypochlorite tote.,,,Flush.B
7,Agitate until homogenous.,,,Flush.B
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,Flush.B
9,Ensure that any agitators used have been turned off.,,,Flush.B
10,Remove GHS label from the mix vessel.,,,Flush.B
1,Gather the required materials.,,,K4199-1.B
2,Verify that the vessel is clean. ,,,K4199-1.B
3,Apply GHS label to the mix vessel.,,,K4199-1.B
4,Charge vessel with DI Water,gals,030143,K4199-1.B
5,Ensure that the DI water pump is turned off.,,,K4199-1.B
6,Start agitator,,,K4199-1.B
7,Add Busan 1264,lbs,030146,K4199-1.B
8,Add Wintrol MBT-50Na (DO NOT MIX WITH NACAP),lbs,030165,K4199-1.B
9,Add Bitrex Solution,lbs,100511,K4199-1.B
10,Add Ethylene Glycol,gals,601015,K4199-1.B
11,Add Chromatech Red 40 C73024X,grams,050008,K4199-1.B
12,Mix for 5 mins;Sample blend; label sample container; and deliver sample to QC Lab.,,,K4199-1.B
13,Ensure that any agitators used have been turned off.,,,K4199-1.B
14,Remove GHS label from the mix vessel.,,,K4199-1.B
1,Gather the required materials.,,,KA00116.B
2,Verify that vessel is clean. ,,,KA00116.B
3,Apply GHS label to the mix vessel.,,,KA00116.B
4,Charge vessel with DI water.,,030143,KA00116.B
5,Ensure that the DI water pump is turned off.,,,KA00116.B
6,Start agitator.,,,KA00116.B
7,Add Sodium Benzoate,,030154,KA00116.B
8,Agitate for 10 minutes.,,,KA00116.B
9,Add Methylene Chloride blue,,030155,KA00116.B
10,Agitate for 5 minutes,,,KA00116.B
11,Add Tomadol 91-8,,031013,KA00116.B
12,Agitate for 20 minutes.,,,KA00116.B
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,KA00116.B
14,Ensure that any agitators used have been turned off.,,,KA00116.B
15,Remove GHS label from the mix vessel.,,,KA00116.B
1,Gather the required materials.,,,052000G3.5-20
2,Verify that vessel is clean. ,,,052000G3.5-20
3,Apply GHS label to the mix vessel.,,,052000G3.5-20
4,Charge vessel with water.,GAL,WATER,052000G3.5-20
5,Start agitator.,,,052000G3.5-20
6,Add CHEM - Rocima - Nash MBC-997 /MBC 211-P,lbs,030146P,052000G3.5-20
7,Add Glycerine,GAL,050000G,052000G3.5-20
8,Add PG,GAL,050000,052000G3.5-20
9,Add CHEM - DKP - LIQUID  50%,GAL,030066,052000G3.5-20
10,Add DYE-Liquitint Pink L83045,grams,050020,052000G3.5-20
11,Agitate for 10 minutes.,,,052000G3.5-20
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,052000G3.5-20
13,Ensure that any agitators used have been turned off.,,,052000G3.5-20
14,Remove GHS label from the mix vessel.,,,052000G3.5-20
1,Gather the required materials.,,,052000G4-21
2,Verify that vessel is clean. ,,,052000G4-21
3,Apply GHS label to the mix vessel.,,,052000G4-21
4,Charge vessel with water.,GAL,WATER,052000G4-21
5,Start agitator.,,,052000G4-21
6,Add CHEM - PREVENTOL D7,lbs,030146P,052000G4-21
7,Add CHEM - DKP - LIQUID  50% (12.84lb/gal),GAL,030066,052000G4-21
8,Add Glycerine,GAL,050000G,052000G4-21
9,Add PG,GAL,050000,052000G4-21
